"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3","2","100nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C2","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C4","1","1uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_4mm","~"
"IC1","1","ESP32-WROOM-32UE-N8R2","","","","Custom:ESP32WROOM32UEN8R2","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf"
"IC2","1","RESET","","","","Custom:TS026650BK100SCRD","https://www.sameskydevices.com/product/resource/TS02-66-50-BK-100-SCR-D.pdf"
"IC3","1","BOOT","","","","Custom:TS026650BK100SCRD","https://www.sameskydevices.com/product/resource/TS02-66-50-BK-100-SCR-D.pdf"
"J1","1","Conn_01x06_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"J2","1","Conn_01x05_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~"
"J3","1","Conn_01x02_Socket","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"J4","1","I2S OUT","","","","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","~"
"R1,R2","2","10K","","","","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~"
"R3,R4,R5","3","22R","","","","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~"
"U1","1","LD1117","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf"
